T,Po,U,Ff,RRR
13.2,564.4,89,2,1
8.4,564.0,98,2,1
12.7,564.2,93,1,1
12.7,563.8,92,2,1
10.6,565.9,94,2,1
9.9,565.9,94,3,1
13.3,564.6,87,1,1
12.5,564.0,93,2,1
12.1,564.9,96,2,1
12.6,564.0,89,3,0
12.5,565.2,88,2,1
11.6,564.9,98,2,1
12.8,564.6,91,1,1
14.0,564.0,86,3,1
13.9,565.5,85,1,1
12.2,564.9,94,4,0
11.8,564.9,97,1,0
11.5,565.3,98,1,1
11.4,565.0,98,1,1
13.9,564.6,83,3,1
13.9,565.9,90,4,1
11.5,566.4,96,2,1
11.8,566.3,93,1,0
12.5,564.8,91,1,0
12.7,565.3,85,1,1
15.3,566.1,74,4,0
13.3,564.6,87,1,1
10.7,564.9,88,3,1
10.9,564.6,95,3,1
14.0,563.1,88,4,0
12.6,564.0,93,2,1
11.9,564.4,94,3,1
12.1,565.1,95,1,1
11.4,565.3,91,1,0
10.6,565.7,92,2,1
13.8,565.9,91,2,1
11.2,564.8,96,1,1
11.8,564.9,96,1,1
7.5,564.9,94,1,0
12.7,565.1,90,3,1
12.7,564.2,93,1,1
11.0,564.6,95,2,1
13.0,564.2,91,1,0
12.1,564.7,96,1,1
16.4,564.0,74,7,1
12.5,565.1,94,2,1
14.8,564.9,73,1,1
10.9,565.3,99,2,1
12.5,565.8,92,2,1
11.6,565.5,89,4,1
12.5,565.9,90,2,0
12.2,565.3,93,0,1
12.1,565.9,92,2,0
19.5,564.0,46,7,0
11.5,565.8,94,1,1
12.5,566.1,90,3,1
15.8,567.8,78,3,1
12.9,565.7,94,1,1
18.6,566.1,61,2,1
11.6,566.7,98,2,1
12.2,565.7,93,3,1
12.9,565.7,94,1,1
14.0,566.1,91,2,0
15.7,564.0,85,3,1
12.6,565.5,88,3,1
12.8,565.5,96,1,1
14.0,564.9,92,1,0
12.4,565.7,96,1,1
12.9,565.4,98,2,1
16.2,563.1,79,2,1
12.6,564.8,94,2,1
13.0,565.1,84,2,0
16.7,564.6,71,2,0
12.9,565.7,94,3,1
13.5,567.0,92,2,1
17.6,565.5,70,7,0
15.5,566.8,78,3,1
12.1,566.3,94,1,1
16.6,566.7,71,2,1
12.4,566.4,92,1,1
12.7,566.4,91,2,1
12.3,565.2,95,1,1
10.9,566.1,99,2,0
18.3,563.8,67,5,0
12.0,566.1,96,2,1
14.4,566.2,79,1,0
15.3,565.5,81,2,0
19.2,565.2,54,7,1
17.1,566.3,64,3,1
11.9,566.3,91,2,0
12.6,567.0,93,1,1
17.6,565.5,62,6,1
13.5,566.3,93,3,1
12.7,565.2,92,2,0
13.2,565.7,93,1,1
12.6,566.1,80,2,1
18.6,565.9,57,7,1
11.5,566.7,95,3,1
11.2,565.8,95,2,1
13.7,566.4,77,3,1
12.9,566.8,83,3,0
14.4,565.1,73,1,1
17.2,564.0,64,4,1
12.3,565.3,92,2,0
12.5,565.3,85,4,1
12.0,565.7,82,2,0
12.0,565.7,88,3,0
12.0,565.9,91,1,1
18.2,564.8,57,7,0
12.8,565.7,93,2,0
