T,Po,U,Ff,RRR
11.1,565.4,88,2,1
14.2,565.2,74,2,1
15.7,564.7,77,3,0
13.5,565.3,77,1,0
12.4,564.9,92,3,1
9.8,565.3,91,1,1
10.5,565.1,90,2,1
11.2,565.3,88,3,1
14.2,564.7,67,3,1
12.5,565.3,88,3,1
18.6,565.0,55,6,0
12.5,565.3,85,2,1
15.6,564.0,63,2,0
9.0,565.5,96,1,0
11.5,565.8,94,2,1
12.1,565.4,89,3,0
12.3,565.4,92,3,1
13.8,564.3,84,1,1
16.4,564.9,68,4,1
11.9,565.6,91,2,1
13.1,565.7,83,1,1
13.0,564.9,92,4,1
15.2,564.0,80,2,1
10.7,565.9,94,2,1
14.0,565.2,90,5,0
11.5,565.9,96,3,1
12.0,565.9,75,3,0
13.8,564.8,80,2,1
13.7,564.6,83,2,0
17.3,563.8,64,6,0
11.8,565.5,85,2,1
10.1,565.2,89,3,1
15.4,566.1,69,3,1
11.1,565.6,93,2,1
10.4,564.9,95,2,0
13.4,565.7,81,5,1
16.0,564.0,60,2,0
18.1,563.4,53,6,0
17.5,564.3,61,5,1
14.4,565.1,80,1,1
11.5,564.6,92,2,1
11.0,565.1,93,0,1
14.9,564.3,62,3,0
17.7,564.6,60,7,1
12.0,564.6,91,3,1
13.3,564.3,90,3,1
15.6,564.9,74,4,0
12.8,564.3,86,3,1
15.7,563.7,79,2,0
10.1,564.9,95,1,1
13.3,565.5,86,1,0
13.4,564.3,94,2,1
11.5,564.9,89,2,1
11.5,565.2,96,1,1
12.0,565.2,89,2,0
11.6,564.7,80,2,1
13.0,564.5,77,3,1
14.8,565.3,73,5,1
11.1,565.5,97,1,1
11.0,564.8,94,1,1
11.0,566.1,91,2,1
12.7,566.1,81,2,0
18.1,564.8,57,6,0
16.5,565.8,66,2,0
11.5,565.4,93,1,1
11.5,564.6,94,1,1
11.9,565.7,94,0,1
17.2,565.4,55,8,0
14.9,565.9,71,3,0
13.2,564.8,71,2,1
17.1,566.1,58,6,1
14.0,567.0,80,3,1
11.6,566.0,90,2,0
13.4,565.8,71,6,0
17.2,565.3,59,9,0
18.4,566.1,53,6,0
17.1,567.1,60,4,0
12.9,566.5,87,3,1
12.6,566.2,82,2,0
15.3,564.5,65,4,0
19.0,564.9,54,5,0
12.1,565.6,90,3,0
14.9,564.0,82,3,1
16.7,563.3,76,3,1
12.6,564.7,87,2,0
12.4,564.9,91,2,1
14.4,563.7,87,4,1
20.3,562.3,50,1,0
10.9,564.7,94,3,1
12.7,564.3,89,1,1
12.1,564.4,89,2,1
14.3,563.6,80,1,0
17.0,563.7,71,3,0
15.9,564.8,70,3,0
12.5,564.0,92,3,0
18.3,563.1,52,7,0
12.5,564.5,87,2,0
11.1,565.0,84,3,0
13.2,564.9,91,1,1
13.6,565.4,90,2,0
8.7,565.2,99,2,1
11.5,564.9,96,2,1
12.9,564.9,94,0,0
13.2,564.8,47,2,1
11.5,565.8,97,0,0
12.5,565.8,88,4,1
12.3,565.8,91,1,0
11.0,565.9,92,1,1
12.2,565.4,84,2,1
10.6,565.5,94,2,1
13.2,564.2,93,2,1
10.6,564.5,94,3,1
19.2,562.0,93,2,1
12.4,564.5,82,2,0
16.4,563.9,57,3,0
14.0,564.8,86,3,1
12.5,565.8,84,2,1
11.8,564.0,88,2,1
13.9,563.4,79,3,0
13.8,564.9,85,3,1
14.5,565.9,83,2,1
12.1,565.2,94,3,1
11.6,564.6,96,3,1
11.8,565.1,94,2,1
12.6,566.1,89,2,1
17.9,563.4,59,2,0
18.1,564.7,58,4,0
16.5,565.8,60,1,0
11.5,565.3,88,3,1
12.7,564.8,83,4,1
14.4,562.9,77,2,0
17.7,562.2,64,4,0
18.6,563.4,54,4,0
10.5,564.9,91,2,1
10.8,564.3,89,3,1
12.0,565.4,86,2,1
13.6,564.9,79,2,1
16.2,565.3,75,6,0
10.5,566.8,98,1,1
13.7,563.8,78,2,0
16.9,563.0,74,3,0
14.8,565.8,69,4,0
9.6,566.8,90,3,0
12.1,565.9,88,2,0
11.4,565.8,92,1,0
12.3,564.3,92,1,1
10.6,565.5,98,1,1
14.4,564.4,82,2,1
11.6,565.6,96,2,1
11.7,564.9,96,1,1
15.1,563.4,89,4,1
11.6,565.8,95,1,1
11.5,565.6,94,3,1
13.9,564.9,62,3,0
7.0,566.2,98,2,0
14.4,565.7,73,2,0
12.5,566.5,86,2,0
11.0,565.4,93,1,0
18.0,564.8,49,6,0
15.5,566.3,67,3,0
12.0,565.8,81,3,0
12.2,564.3,97,2,0
12.3,564.9,96,1,1
11.5,563.8,96,1,1
15.1,563.6,81,5,0
10.5,565.8,97,2,0
13.6,563.5,91,2,0
17.6,562.0,70,4,0
12.6,564.9,81,3,0
11.0,565.3,90,2,1
15.1,564.3,77,3,0
18.7,563.3,65,3,0
13.5,564.9,88,1,1
16.8,562.2,75,3,0
13.5,563.9,96,1,0
17.8,564.3,60,2,1
11.8,564.3,99,2,0
11.2,564.8,94,1,1
11.1,564.4,97,1,0
12.8,565.3,95,2,1
12.6,564.4,96,1,1
13.8,564.9,97,1,0
12.5,565.6,96,1,0
12.4,564.6,92,1,0
13.8,564.1,93,1,1
15.0,563.6,77,3,1
11.5,565.3,96,2,1
13.4,564.1,96,1,1
17.4,563.3,67,2,0
10.9,565.1,93,1,1
13.3,566.1,94,2,0
11.8,564.9,94,1,1
10.9,565.4,92,2,0
11.3,565.7,99,2,0
13.0,565.2,89,1,0
13.1,564.6,82,2,0
11.0,565.5,97,1,0
8.7,565.3,98,1,0
15.6,564.0,78,2,0
15.2,563.2,79,2,1
15.0,562.8,82,4,1
12.8,564.5,91,3,1
12.0,563.5,96,1,1
9.6,564.3,98,0,1
14.7,563.9,85,2,0
6.1,565.0,99,1,0
12.8,565.1,92,2,1
13.6,563.7,88,2,0
17.4,563.1,73,2,0
12.6,564.6,94,1,0
11.5,564.9,92,1,0
12.7,564.0,91,1,1
11.9,564.5,99,1,0
13.1,563.0,90,2,1
9.6,564.4,97,3,1
10.1,564.0,98,3,1
12.3,565.5,96,1,0
11.2,564.9,98,1,0
11.7,565.0,97,1,0
12.6,566.1,93,1,1
12.5,565.2,68,2,0
12.8,564.9,96,2,0
12.0,565.2,94,2,1
12.3,565.4,94,1,1
11.6,563.5,94,2,1
11.5,564.0,94,3,0
12.3,564.4,92,2,0
11.6,564.5,94,3,0
16.4,563.2,72,5,1
12.6,565.4,91,3,1
16.2,564.2,76,3,1
12.6,565.2,91,1,1
12.0,564.3,97,1,0
14.5,566.0,85,2,0
12.0,565.2,99,1,1
15.0,564.0,72,1,1
12.3,564.9,89,2,1
12.6,564.7,85,3,1
13.5,564.0,93,2,0
12.6,565.2,84,3,0
10.1,565.5,91,1,1
13.0,564.0,87,4,0
15.5,562.9,72,4,0
12.6,564.7,94,2,1
12.7,564.7,79,1,0
16.5,564.2,71,7,1
14.0,565.5,84,2,1
16.1,564.2,62,5,0
7.5,564.2,97,1,1
11.5,564.0,87,2,0
6.1,564.8,99,2,0
11.2,566.1,94,1,0
11.4,565.2,91,2,1
14.2,564.8,87,4,0
11.1,565.6,91,1,1
11.7,565.9,91,1,0
16.6,563.4,78,5,0
9.7,565.5,97,1,0
13.9,563.8,88,2,0
12.6,564.9,91,2,0
13.3,565.2,88,1,0
11.6,565.2,89,2,1
8.5,564.9,95,1,0
10.5,564.7,96,2,0
12.9,565.3,96,0,0
13.9,564.0,93,4,1
10.6,564.9,91,2,1
14.0,563.1,93,4,1
13.8,563.8,93,1,1
12.5,564.9,85,2,1
11.8,564.8,89,3,0
14.4,563.1,87,1,0
12.6,564.4,87,1,1
12.6,564.2,89,3,1
12.0,564.8,89,3,1
12.9,564.8,95,1,0
14.7,563.4,82,1,0
16.0,562.5,82,6,0
14.4,563.4,89,1,1
13.1,564.2,88,2,0
12.6,564.5,87,0,1
13.4,564.8,93,2,0
13.5,564.6,83,2,0
12.3,564.6,88,1,0
12.6,564.0,89,3,1
13.0,563.8,92,2,0
17.7,562.5,69,6,0
12.5,564.8,91,3,1
13.9,565.1,85,2,1
18.8,564.3,51,7,1
15.0,566.1,82,1,1
11.6,565.2,96,2,1
11.1,564.9,97,1,1
12.3,564.8,91,1,1
14.1,564.1,89,2,1
13.9,564.0,90,2,0
11.5,565.2,96,1,1
13.1,564.0,92,2,0
17.6,562.5,69,5,0
13.1,564.8,85,2,0
12.1,564.8,93,1,1
12.1,563.6,95,1,1
15.4,564.2,85,5,1
11.9,564.6,97,1,1
16.9,564.8,69,5,1
13.3,566.3,93,2,1
11.7,565.1,93,1,1
15.8,563.4,65,6,0
15.6,564.7,66,4,0
15.0,565.7,72,7,0
11.0,565.2,86,2,0
11.2,565.7,94,2,1
10.5,566.1,86,4,1
12.3,565.5,89,2,1
11.9,564.9,92,0,1
11.6,566.1,98,1,1
13.4,565.5,88,1,0
14.7,565.2,77,1,1
14.7,566.4,80,1,1
13.5,567.2,88,2,1
12.5,566.3,93,1,1
12.3,565.4,97,9,1
11.8,566.1,92,2,1
11.8,566.1,96,0,1
14.0,565.9,91,1,0
