"12.8","565.7","93","2","0.75","0.5","18","11.7","24","0"
"18.2","564.8","57","7","0.6","0.6","18","9.5","6","0"
"12","565.9","91","1","0.75","0.75","12","10.6","6","1"
"12","565.7","88","3","0.75","0.25","20","10.1","24","0"
"12.5","565.3","85","4","1","0.4","18","10","24","1"
"12","565.7","82","2","1","0.75","15","9","6","0"
"14.4","565.1","73","1","1","0.1","18","9.5","6","1"
"17.2","564","64","4","0.95","0.4","18","10.3","3","1"
"12.3","565.3","92","2","0.95","0.25","15","11","24","0"
"12.9","566.8","83","3","0.6","0.25","15","10.1","24","0"
"13.7","566.4","77","3","0.75","0.5","15","9.7","24","1"
"18.6","565.9","57","7","0.75","0.5","18","9.8","6","1"
"11.5","566.7","95","3","1","0.6","8","10.7","24","1"
"11.2","565.8","95","2","1","0.25","16","10.4","3","1"
"12.6","566.1","80","2","0.75","0.25","15","9.2","24","1"
"12.6","567","93","1","1","0.25","10","11.5","3","1"
"17.6","565.5","62","6","0.95","0.6","15","10.2","6","1"
"13.5","566.3","93","3","1","0.5","15","12.3","24","1"
"12.7","565.2","92","2","0.95","0.25","15","11.4","3","0"
"13.2","565.7","93","1","1","0.4","10","12.1","6","1"
"14.4","566.2","79","1","0.6","0.4","15","10.8","3","0"
"15.3","565.5","81","2","1","0.25","16","12.1","6","0"
"19.2","565.2","54","7","0.75","0.5","18","9.7","6","1"
"17.1","566.3","64","3","0.95","0.25","15","10.2","3","1"
"11.9","566.3","91","2","0.75","0.25","17","10.5","24","0"
"18.3","563.8","67","5","0.75","0.5","15","12.1","3","0"
"12","566.1","96","2","1","0.4","12","11.4","24","1"
"12.3","565.2","95","1","0.6","0.4","10","11.5","6","1"
"10.9","566.1","99","2","0.95","0.95","3","10.7","24","0"
"16.6","566.7","71","2","0.75","0.6","16","11.3","3","1"
"12.4","566.4","92","1","0.95","0.6","9","11.1","24","1"
"12.7","566.4","91","2","0.95","0.4","18","11.3","6","1"
"13.5","567","92","2","0.95","0.5","18","12.2","3","1"
"17.6","565.5","70","7","0.95","0.6","15","12.1","6","0"
"15.5","566.8","78","3","0.75","0.4","15","11.6","3","1"
"12.1","566.3","94","1","0.95","0.4","12","11.2","24","1"
"13","565.1","84","2","0.4","0.25","20","10.4","6","0"
"16.7","564.6","71","2","0.95","0.25","20","11.4","3","0"
"12.9","565.7","94","3","0.75","0.75","16","12","24","1"
"12.9","565.4","98","2","0.6","0.25","3","12.6","3","1"
"16.2","563.1","79","2","0.75","0.75","15","12.6","3","1"
"12.6","564.8","94","2","0.95","0.1","15","11.7","24","1"
"14","564.9","92","1","0.75","0.4","10","12.7","3","0"
"12.4","565.7","96","1","0.95","0.25","10","11.8","6","1"
"14","566.1","91","2","1","0.25","10","12.6","3","0"
"15.7","564","85","3","0.95","0.5","12","13.2","3","1"
"12.6","565.5","88","3","1","0.5","15","10.7","24","1"
"12.8","565.5","96","1","1","0.5","9","12.2","6","1"
"12.9","565.7","94","1","1","0.5","15","12","6","1"
"12.2","565.7","93","3","0.6","0.25","18","11.1","24","1"
"18.6","566.1","61","2","0.95","0.25","15","11","6","1"
"11.6","566.7","98","2","1","0.5","10","11.3","24","1"
"12.9","565.7","94","1","1","0.5","15","12","6","1"
"15.8","567.8","78","3","1","0.6","12","12","3","1"
